Name,Attenuation,,Floculation,Temperature,,Description
Fermentis Safale US-05 Dry Ale Yeast,72,-1,Low-Medium,59,75,Ready-to-pitch American ale yeast for well balanced beers with low diacetyl and a very crisp end palate.
White Labs Abbey Ale,75,80,Medium-High,66,72,"Used to produce Trappist style beers. Similar to WLP500, but is less fruity and more alcohol tolerant (up to 15% ABV). Excellent yeast for high gravity beers, Belgian ales, dubbels and trippels."
White Labs American Hefeweizen Ale,70,75,Low,65,69,"This yeast is used to produce the Oregon style American Hefeweizen. Unlike WLP300, this yeast produces a very slight amount of the banana and clove notes. It produces some sulfur, but is otherwise a clean fermenting yeast, which does not flocculate well, producing a cloudy beer."
White Labs American Lager,75,80,Medium,50,55,This yeast is used to produce American style lagers. Dry and clean with a very slight apple fruitiness. Sulfur and diacetyl production is minimal.
White Labs Bastogne Belgian Ale,74,80,Medium,66,72,"A high gravity, Trappist style ale yeast. Produces dry beer with slight acidic finish. More clean fermentation character than WLP500 or WLP530. Not as spicy as WLP530 or WLP550. Excellent yeast for high gravity beers, Belgian ales, dubbels and trippels."
White Labs Bedford British Ale,72,80,High,65,70,"Ferments dry and flocculates very well. Produces a distinctive ester profile. Good choice for most English style ales including bitter, pale ale, porter, and brown ale."
White Labs Belgian Ale,78,85,Medium,68,78,"Saisons, Belgian Ales, Belgian Reds, Belgian Browns, and White beers are just a few of the classic Belgian beer styles that can be created with this yeast strain. Phenolic and spicy flavors dominate the profile, with less fruitiness then WLP500."
White Labs Belgian Golden Ale,73,78,Low,68,75,"From East Flanders, versatile yeast that can produce light Belgian ales to high gravity Belgian beers (12% ABV). A combination of fruitiness and phenolic characteristics dominate the flavor profile. Some sulfur is produced during fermentation, which will dissipate following the end of fermentation."
White Labs Belgian Saison I,65,75,Medium,68,75,"Classic Saison yeast from Wallonia. It produces earthy, peppery, and spicy notes. Slightly sweet. With high gravity saisons, brewers may wish to dry the beer with an alternate yeast added after 75% fermentation."
White Labs Belgian Wit Ale,74,78,Low-Medium,67,74,"Slightly phenolic and tart, this is the original yeast used to produce Wit in Belgium."
White Labs Belgian Wit II,70,75,Low-Medium,67,74,"Less phenolic than WLP400, and more spicy. Will leave a bit more sweetness, and flocculation is higher than WLP400. Use to produce Belgian Wit, spiced Ales, wheat Ales, and specialty Beers."
White Labs British Ale,67,74,High,65,70,"This yeast is a little more attenuative than WLP002. Like most English strains, this yeast produces malty beers. Excellent for all English style ales including bitter, pale ale, porter, and brown ale. "
White Labs Burton Ale,69,75,Medium,68,73,"From the famous brewing town of Burton upon Trent, England, this yeast is packed with character. It provides delicious subtle fruity flavors like apple, clover honey and pear. Great for all English styles, IPA's, bitters, and pales. Excellent in porters and stouts."
White Labs California Ale,73,80,Medium,68,73,"This yeast is famous for its clean flavors, balance and ability to be used in almost any style ale. It accentuates the hop flavors and is extremely versatile."
White Labs California Ale V,70,75,Medium-High,66,70,"From Northern California. This strain is more fruity than WLP001, and slightly more flocculent. Attenuation is lower, resulting in a fuller bodied beer than with WLP001."
White Labs Czech Budejovice Lager,75,80,Medium,50,55,"Pilsner lager yeast from Southern Czech Republic. Produces dry and crisp lagers, with low diacetyl production."
White Labs Dry English Ale,70,80,Medium-High,65,70,"Clean, highly flocculent, and highly attenuative yeast. This yeast is similar to WLP002 in flavor profile, but is 10% more attenuative. This eliminates the residual sweetness, and makes the yeast well suited for high gravity ales. It is also reaches terminal gravity quickly. 80% attenuation will be reached even with 10% ABV beers."
White Labs East Coast Ale,70,75,Low-Medium,68,73,"Our ""Brewer Patriot"" strain can be used to reproduce many of the American versions of classic beer styles. Similar neutral character of WLP001, but less attenuation, less accentuation of hop bitterness, slightly less flocculation, and a little tartness. Very clean and low esters. Great yeast for golden, blonde, honey, pales and German alt style ales."
White Labs Edinburgh Ale,70,75,Medium,65,70,"Scotland is famous for its malty, strong ales. This yeast can reproduce complex, flavorful Scottish style ales. This yeast can be an everyday strain, similar to WLP001. Hop character is not muted with this strain, as it is with WLP002."
White Labs English Ale,63,70,Very High,65,68,"A classic ESB strain from one of England's largest independent breweries. This yeast is best suited for English style ales including milds, bitters, porters, and English style stouts. This yeast will leave a beer very clear, and will leave some residual sweetness."
White Labs English Cider,80,-1,Medium,68,75,"Classic cider yeast. Ferments dry, but retains flavor from apples. Sulfur is produced during fermentation, but will disappear in first two weeks of aging. Can also be used for wine and high gravity beers."
White Labs Essex Ale,71,76,Medium-High,66,70,"Flavorful British style yeast. Drier finish than many British ale yeast. Produces slightly fruity and bready character.    Good top fermenting yeast strain, is well suited for top cropping (collecting). This yeast is well suited for classic British milds, pale ales, bitters, and stouts. Does not flocculate as much as WLP002 and WLP005."
White Labs European Ale,65,70,Medium,65,70,"Malty, Northern European-origin ale yeast. Low ester production, giving a clean profile. Little to no sulfur production. Low attenuation helps to contribute to the malty character. Good for Alt, Kolsch, malty English ales, and fruit beers."
White Labs German Ale II,73,80,Medium,65,69,"Good for Kolsch, Alt, and German style Pale Ales. Strong sulfur component will reduce with aging. Clean, but with more ester production than WLP029. Does not ferment well less than 62 F."
White Labs German Ale Kolsch,72,78,Medium,65,69,"From a small brewpub in Cologne, Germany, this yeast works great in Kolsch and Alt style beers. Good for light beers like blond and honey. Accentuates hop flavors, similar to WLP001. The slight sulfur produced during fermentation will disappear with age and leave a super clean, lager like ale. Does not ferment well less than 62 F, unless during active fermentation."
White Labs German Bock Lager,70,76,Medium,48,55,"From the Alps of southern Bavaria, this yeast produces a beer that is well balanced between malt and hop character. The excellent malt profile makes it well suited for Bocks, Doppelbocks, and Oktoberfest style beers. Very versatile lager yeast, it is so well balanced that it has gained tremendous popularity for use in Classic American style Pilsners. Also good for Helles style lager beer."
White Labs German Lager,74,79,Medium,50,55,"One of the most widely used Lager yeasts in the world. Very malty and clean, great for all German Lagers, Pilsners and Marzens."
White Labs Hefeweizen Ale,72,76,Low,68,72,"This famous German yeast is a strain used in the production of traditional, authentic wheat beers. It produces the banana and clove nose traditionally associated with German wheat beers and leaves the desired cloudy look of traditional German wheat beers."
White Labs Hefeweizen IV Ale,73,80,Low,66,70,"Large clove and phenolic aroma and flavor, with minimal banana. Refreshing citrus and apricot notes. Crisp, drinkable hefeweizen. Less flocculent than WLP300, and sulfur production is higher."
